gene_symbol,ensembl_id,entrez_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
C1D,ENSG00000197223,10438.0,197.594051272895,-2.99701156920114,0.320941847837639,8.56286676873567e-22,1.39369219527942e-17
CCNA2,ENSG00000145386,890.0,82.4593636698142,-4.06154704891171,0.511061225094401,6.54498960702108e-17,3.38385181711617e-13
IGLV1-44,ENSG00000211651,28823.0,481.987677827312,-5.66933130626734,0.747860733462412,8.31617551515401e-17,3.38385181711617e-13
IGLV3-25,ENSG00000211659,28793.0,787.919913033914,-6.73420627745502,0.898145390150545,7.42445427627604e-17,3.38385181711617e-13
IGHG1,ENSG00000211896,3500.0,15108.074286153,-5.85592199415336,0.792474657861919,1.50251248581282e-16,4.890978643817899e-13
IGLV2-11,ENSG00000211668,28816.0,395.561308150322,-6.73021589856452,0.940623322235969,2.1695398411904603e-15,5.88523840920264e-12
IGHV3-33,ENSG00000211955,28434.0,287.521914447508,-5.16776200736906,0.730293012031614,5.935459019667981e-15,1.3800790143445199e-11
MZB1,ENSG00000170476,51237.0,738.644776899338,-4.17953638402657,0.620626637229316,5.83391274329222e-14,1.1869095476228002e-10
BIRC5,ENSG00000089685,332.0,84.2174560864089,-4.31450935287296,0.626493048818421,8.897945114128121e-14,1.6091439408616602e-10
PLK1,ENSG00000166851,5347.0,78.1515902632831,-3.34777644926855,0.48740834616345,1.2563620317582e-13,2.04485484288964e-10
IGHV1-24,ENSG00000211950,28467.0,320.079830274686,-6.26055941259842,0.991508093758512,5.09884354333895e-13,7.54443431921679e-10
IGHV4-59,ENSG00000224373,28392.0,285.163805724229,-4.72431427242744,0.742245578052414,6.365562903523309e-13,8.63382515147878e-10
IGKV1-5,ENSG00000243466,28299.0,647.767515634303,-3.97277810728985,0.630213278308307,1.07348043574932e-12,1.3439975055581402e-09
SPAG5,ENSG00000076382,10615.0,121.76249989494,-2.54976097935245,0.390573120985667,1.21713106818805e-12,1.4150018047020502e-09
IGHV3-21,ENSG00000211947,28444.0,357.563502866986,-4.27815575303469,0.68437907298264,1.5816206129769498e-12,1.7161638064541902e-09
RRM2,ENSG00000171848,6241.0,324.91371090817,-3.14376891082927,0.497309878206818,2.06737372497911e-12,2.103035921735e-09
IGLV4-69,ENSG00000211637,28784.0,226.505577656983,-5.27471916854444,0.860707539480781,3.03355185461854e-12,2.90435823445714e-09
IGKV4-1,ENSG00000211598,28908.0,1097.77651886892,-4.68725729858616,0.774564737931701,3.30621652946386e-12,2.95938193790081e-09
IGHV3-23,ENSG00000211949,28442.0,740.684290229388,-4.32220857828812,0.711697761669334,3.4546729429906197e-12,2.95938193790081e-09
IGLC3,ENSG00000211679,3539.0,2362.78313370021,-4.40847029909108,0.725782218542395,4.69936939557034e-12,3.82434681411515e-09
IGLC2,ENSG00000211677,3538.0,3935.95256128795,-4.55963452174452,0.762519049188165,4.97670187397225e-12,3.8571809381320104e-09
IGLV6-57,ENSG00000211640,28778.0,372.27260298539,-5.29854930296323,0.891806829351048,5.76094192695221e-12,4.262049581957921e-09
TPX2,ENSG00000088325,22974.0,96.7932715963178,-2.86924783152362,0.459125938757859,6.53137217321235e-12,4.6219397170088804e-09
IGLV1-47,ENSG00000211648,28822.0,447.080009103586,-4.81601959678419,0.829586391772697,1.59849464981559e-11,1.08404578834994e-08
IGHV1-18,ENSG00000211945,28468.0,265.243403199302,-4.31137405991424,0.737541742153344,1.8398673532838598e-11,1.19782724168193e-08
PTGDR2,ENSG00000183134,11251.0,66.6291545492513,3.16505593974936,0.485777308729443,2.2153388917200798e-11,1.38680214621677e-08
SHCBP1,ENSG00000171241,79801.0,75.8373234058667,-2.69078898982723,0.443670881521174,2.4178339926123296e-11,1.40947616379934e-08
MYBL2,ENSG00000101057,4605.0,358.71407347436,-3.50551275961939,0.597037070798278,2.4506814625796698e-11,1.40947616379934e-08
IGLV3-21,ENSG00000211662,28796.0,355.536050353637,-5.60238450184323,0.989433511965699,2.5113546786790898e-11,1.40947616379934e-08
IFI27,ENSG00000165949,3429.0,1260.24124405077,-8.66616166778507,1.62853069143386,2.84681089720587e-11,1.54448980543076e-08
IGHV3-7,ENSG00000211938,28452.0,298.863953751578,-4.44348422227149,0.773339860756843,3.41277159265077e-11,1.79181517554787e-08
AURKB,ENSG00000178999,9212.0,53.6150476956254,-3.09623681732366,0.511485435474425,3.8269016995046e-11,1.89466987123207e-08
IGLV9-49,ENSG00000223350,28773.0,75.8012194060055,-6.35180944876183,1.0357795378593,3.8414908915371394e-11,1.89466987123207e-08
IGKC,ENSG00000211592,3514.0,16019.6769360821,-3.71614416006881,0.649043442718791,3.9793115134851094e-11,1.90491982922011e-08
MCM10,ENSG00000065328,55388.0,34.3726220310837,-4.13827117872035,0.678119504826327,5.6592300656638096e-11,2.63170367282126e-08
IGLV2-14,ENSG00000211666,28815.0,712.555307102305,-3.94939126380624,0.700775278183572,6.4839610154434e-11,2.93147081909324e-08
SLC38A5,ENSG00000017483,92745.0,278.621895335543,-1.62383075376632,0.273849442168677,7.23555606490468e-11,3.18286244628077e-08
SPIN3,ENSG00000204271,169981.0,152.695517419731,1.7919875570963,0.288399829638736,7.843942150255269e-11,3.35968427467249e-08
JCHAIN,ENSG00000132465,3512.0,3406.87894988269,-4.4795824683319,0.818542836181896,9.783440615983559e-11,3.98088198664371e-08
