gene_symbol,ensembl_id,entrez_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
C1D,ENSG00000197223,10438.0,197.594051272895,-2.53386371434599,0.32194618413361,2.64735911991719e-16,4.85710977731206e-12
GSTM1,ENSG00000134184,2944.0,85.0348528435853,-0.0006605384989914,0.0345245275182,6.9790547278701795e-12,6.40223585461171e-08
NAIPP3,ENSG00000248477,643784.0,10.7651836775937,3.56143562980043,0.598543359767164,6.51476847234648e-10,3.98421523873803e-06
IGKV3D-11,ENSG00000211632,28876.0,15.3136731272761,3.82982537542534,0.660938880590458,2.78943820334054e-09,1.27944556791722e-05
GSTM3,ENSG00000134202,2947.0,83.5016058259987,-3.44461571201748,0.688710825618014,1.12776487398302e-08,4.13822042859329e-05
PAX8-AS1,ENSG00000189223,654433.0,202.257079669942,-0.0020459219866963,0.0346054189633654,4.12405081104998e-08,0.0001261066003838
ST3GAL6-AS1,ENSG00000239445,,7.90192106213977,3.57008396001301,0.692996739445603,4.94004713777542e-08,0.000129478635481
SPIN3,ENSG00000204271,169981.0,152.695517419731,1.36747078650443,0.290830653210009,2.56213657898834e-07,0.0005875939976837
IGHV5-10-1,ENSG00000282651,28386.0,45.4135626670029,-0.0001599092756181,0.034515598355005,4.80129148263728e-07,0.0009787699425771
FST,ENSG00000134363,10468.0,4.50222274016901,5.20451515175919,1.06206805110437,9.67473629197032e-07,0.0017750238674877
RPS2P7,ENSG00000235508,86781.0,9.5848537211176,2.20876253479169,0.541612368334528,1.66076577524218e-06,0.0027700063343971
SEPTIN7P3,ENSG00000226102,646913.0,4.35444747692024,5.06852941404127,1.11428524265381,3.40909968252998e-06,0.0052122293229481
POU5F1B,ENSG00000212993,5462.0,9.52453710588589,2.07162350266944,0.534346554658899,1.02905831514825e-05,0.0145231791600192
AMFR,ENSG00000159461,267.0,1202.88550224654,-1.11120620685123,0.32547189691654,1.20674090399436e-05,0.0158143395468462
EXPH5,ENSG00000110723,23086.0,29.0610030871498,-1.87735676520174,0.549353510652504,2.09716091712209e-05,0.0256510742309593
SLC25A4,ENSG00000151729,291.0,154.315461867584,-1.0935867992448,0.336588647835129,2.4272501598037e-05,0.027832974176199
NFXL1,ENSG00000170448,152518.0,125.273681759873,0.601241661533286,0.186749695183999,6.28231091813028e-05,0.0578222573325675
AEBP1,ENSG00000106624,165.0,133.308666888146,-0.0071376952568856,0.0355937007990917,6.13728290237114e-05,0.0578222573325675
NMRK1,ENSG00000106733,54981.0,353.778001068324,-0.0132400119547079,0.0382875372596277,6.22736340150047e-05,0.0578222573325675
AVPI1,ENSG00000119986,60370.0,154.864957081388,-0.0035415786658827,0.0347784148046362,6.6183430750745e-05,0.0578222573325675
HERC2P3,ENSG00000180229,283755.0,47.9111615398223,-0.0033920462475858,0.0347588933599379,6.40393852849016e-05,0.0578222573325675
PTPMT1,ENSG00000110536,114971.0,54.0918451399112,0.554733571387358,0.181134507725231,6.95049906530065e-05,0.0579640028868505
KBTBD11,ENSG00000176595,9920.0,226.356183714583,1.0479867669013,0.318066511638378,7.28444360619971e-05,0.0581076899317157
NAPSB,ENSG00000131401,256236.0,1581.60358675726,-1.37213178370005,0.519012461898116,8.50294150801203e-05,0.065001444936457
MTUS1,ENSG00000129422,57509.0,40.0912300387698,1.74587029016128,0.525712164071196,0.0001032959334751,0.0758068196587314
TRBV7-3,ENSG00000211714,28595.0,50.9319082738375,-0.0033663986473782,0.0347535011711902,0.0001191610869849,0.0812867092225017
DUSP8,ENSG00000184545,1850.0,249.419962062721,-0.0023623690302114,0.0346328735245955,0.000119623979343,0.0812867092225017
AIFM3,ENSG00000183773,150209.0,57.4832480327627,1.20496724706343,0.388652326776657,0.0001390446528205,0.0911090087606825
PPARGC1B,ENSG00000155846,133522.0,174.618403432709,0.0323812585754415,0.0629075548633721,0.0001524852634919,0.0964705906650728
TSHR,ENSG00000165409,7253.0,13.2433397218284,1.54585664038939,0.529933877272382,0.0001656444386631,0.0980347908436365
EIF3CL,ENSG00000205609,728689.0,220.303072432863,-0.0017311792216212,0.0345790561834521,0.0001622364876103,0.0980347908436365
SEC22B2P,ENSG00000274423,100996716.0,3.77776829471315,2.60536871207481,1.0006599499725,0.0001750793200397,0.100380633899013
NUDT11,ENSG00000196368,55190.0,11.0222648031321,1.55578110651314,0.528435875735099,0.0002179697154326,0.121184556637674
CCL20,ENSG00000115009,6364.0,354.259857702989,-0.0011162763979622,0.0345416687276628,0.000225482097058,0.121674118668358
SPRY3,ENSG00000168939,10251.0,19.2699828987679,1.01318099966639,0.379930712594169,0.0002518152342646,0.132001545801509
NBPF25P,ENSG00000272150,101929780.0,16.8198946978029,1.10332149992201,0.433434355663374,0.0002849210511644,0.13253942792403
MTA3,ENSG00000057935,57504.0,160.499026986639,-0.0187718647901898,0.0424015497279517,0.0003020618297552,0.13253942792403
TADA2B,ENSG00000173011,93624.0,699.321429435559,-0.0196946700818609,0.0433212428011161,0.0002777206377427,0.13253942792403
STYK1,ENSG00000060140,55359.0,14.4568961724253,-0.0034617550703673,0.0347665320301958,0.0002738787863057,0.13253942792403
KNTC1,ENSG00000184445,9735.0,215.534376895596,-0.019593154560379,0.0430789316395435,0.0003017288459993,0.13253942792403
ZNF791,ENSG00000173875,163049.0,450.001576019119,-0.0212912539226602,0.0448656366746598,0.0002710308188087,0.13253942792403
CELSR1,ENSG00000075275,9620.0,70.7768558629987,-0.0046900186114204,0.0349741219462121,0.0003034096022679,0.13253942792403
TRIM16,ENSG00000221926,10626.0,30.86271349474,0.775386536064817,0.300897356543482,0.0003195027576105,0.136323653346064
BICDL1,ENSG00000135127,92558.0,344.737340745816,-0.0104350024560294,0.0368556606311275,0.0003511205745839,0.146409299588442
MDGA1,ENSG00000112139,266727.0,100.968628788544,-0.0011417198926734,0.0345430431197096,0.0003864571551398,0.151772747012936
CFD,ENSG00000197766,1675.0,1633.89924967311,0.019059866139859,0.0426157980768875,0.0003970726471151,0.151772747012936
BCL2L13,ENSG00000099968,23786.0,537.357083899398,0.485694682872146,0.185270743894554,0.0003907719737767,0.151772747012936
